Final number of Monte Carlo trials: 5000, and temperature: 2.40000
     Energy:      abs(Magnetization):    No of accepted moves: 
     -1.2289730     0.51878378          19742
     -1.2287097     0.51615591          19868
     -1.2279679     0.51427807          19975
     -1.2266489     0.51194149          20111
     -1.2258730     0.50992063          20238
     -1.2252632     0.50765789          20364
     -1.2249738     0.50531414          20492
     -1.2246875     0.50341146          20616
     -1.2238860     0.50155440          20747
     -1.2230928     0.50018041          20887
     -1.2221538     0.49900000          21014
     -1.2218367     0.49790816          21155
     -1.2215736     0.49703046          21275
     -1.2210101     0.49585859          21393
     -1.2204523     0.49489950          21495
     -1.2206500     0.49397500          21618
     -1.2205970     0.49318408          21709
     -1.2204950     0.49272277          21832
     -1.2205419     0.49216749          21942
     -1.2207353     0.49176471          22032
     -1.2205854     0.49109756          22137
     -1.2200000     0.49060680          22252
     -1.2200483     0.49038647          22357
     -1.2195192     0.48997596          22467
     -1.2188038     0.48944976          22592
     -1.2181429     0.48876190          22695
     -1.2172038     0.48753555          22828
     -1.2165566     0.48636792          22954
     -1.2161972     0.48528169          23077
     -1.2160748     0.48443925          23173
     -1.2158605     0.48362791          23266
     -1.2162037     0.48321759          23389
     -1.2164516     0.48269585          23474
     -1.2164220     0.48227064          23592
     -1.2165297     0.48187215          23695
     -1.2165000     0.48156818          23801
     -1.2164253     0.48124434          23918
     -1.2164865     0.48153153          24033
     -1.2163229     0.48199552          24135
     -1.2164732     0.48265625          24222
     -1.2165333     0.48335556          24320
     -1.2167699     0.48404867          24418
     -1.2177533     0.48491189          24518
     -1.2185965     0.48539474          24605
     -1.2189083     0.48572052          24698
     -1.2189130     0.48589130          24823
     -1.2191342     0.48625541          24938
     -1.2190948     0.48668103          25055
     -1.2194850     0.48731760          25161
     -1.2195726     0.48792735          25256
     -1.2197872     0.48853191          25374
     -1.2201695     0.48900424          25470
     -1.2205485     0.48955696          25554
     -1.2207143     0.48983193          25669
     -1.2212971     0.49027197          25769
     -1.2219167     0.49083333          25847
     -1.2224481     0.49112033          25936
     -1.2226860     0.49140496          26038
     -1.2230453     0.49179012          26145
     -1.2233197     0.49215164          26248
     -1.2234694     0.49230612          26342
     -1.2239431     0.49262195          26440
     -1.2247368     0.49336032          26543
     -1.2254032     0.49415323          26610
     -1.2261446     0.49493976          26686
     -1.2266400     0.49584000          26780
     -1.2271315     0.49669323          26872
     -1.2275397     0.49732143          26965
     -1.2282609     0.49804348          27050
     -1.2287795     0.49854331          27143
     -1.2292157     0.49896078          27249
     -1.2296484     0.49919922          27362
     -1.2301167     0.49959144          27456
     -1.2301938     0.50013566          27564
     -1.2298456     0.50057915          27661
     -1.2298462     0.50098077          27767
     -1.2295019     0.50120690          27880
     -1.2296565     0.50154580          27984
     -1.2299620     0.50199620          28074
     -1.2299621     0.50200758          28175
     -1.2301509     0.50218868          28312
     -1.2297744     0.50212406          28407
     -1.2290637     0.50172285          28527
     -1.2289179     0.50134328          28654
     -1.2279926     0.50065056          28801
     -1.2275926     0.50012963          28952
     -1.2272325     0.49992620          29097
     -1.2268382     0.49963235          29216
     -1.2261538     0.49906593          29335
     -1.2254745     0.49839416          29463
     -1.2252000     0.49765455          29593
     -1.2251087     0.49713768          29721
     -1.2249819     0.49666065          29833
     -1.2249281     0.49618705          29951
     -1.2252330     0.49582437          30067
     -1.2251429     0.49521429          30177
     -1.2248399     0.49435943          30303
     -1.2243617     0.49340426          30437
     -1.2238869     0.49226148          30582
     -1.2238732     0.49119718          30700
     -1.2234035     0.49040351          30817
     -1.2226573     0.48928322          30940
     -1.2220209     0.48799652          31078
     -1.2217708     0.48717014          31206
     -1.2215225     0.48619377          31327
     -1.2208621     0.48505172          31459
     -1.2203093     0.48391753          31593
     -1.2196233     0.48263699          31740
     -1.2191126     0.48150171          31872
     -1.2180272     0.48034014          32008
     -1.2169153     0.47932203          32158
     -1.2164865     0.47863176          32301
     -1.2160943     0.47777778          32431
     -1.2158054     0.47681208          32564
     -1.2161204     0.47607023          32671
     -1.2164000     0.47511667          32764
     -1.2166445     0.47430233          32870
     -1.2167219     0.47347682          32985
     -1.2167987     0.47260726          33108
     -1.2168421     0.47177632          33204
     -1.2166230     0.47091803          33314
     -1.2166013     0.46986928          33438
     -1.2165798     0.46887622          33555
     -1.2165584     0.46787338          33678
     -1.2169579     0.46695793          33787
     -1.2169355     0.46580645          33898
     -1.2169775     0.46451768          34007
     -1.2169231     0.46325321          34132
     -1.2165495     0.46196486          34244
     -1.2164650     0.46070064          34369
     -1.2163810     0.45934921          34485
     -1.2162025     0.45805380          34602
     -1.2162776     0.45665615          34695
     -1.2160063     0.45528302          34802
     -1.2158621     0.45432602          34908
     -1.2154688     0.45329688          35029
     -1.2149844     0.45238318          35156
     -1.2142547     0.45131988          35314
     -1.2140248     0.45012384          35441
     -1.2138889     0.44924383          35579
     -1.2134154     0.44807692          35704
     -1.2133436     0.44707055          35814
     -1.2129664     0.44626911          35941
     -1.2127439     0.44560976          36070
     -1.2128571     0.44490881          36197
     -1.2127879     0.44413636          36312
     -1.2126888     0.44345921          36434
     -1.2127410     0.44260542          36550
     -1.2123423     0.44184685          36646
     -1.2120659     0.44086826          36753
     -1.2121791     0.44010448          36853
     -1.2122917     0.43927083          36958
     -1.2123739     0.43860534          37071
     -1.2130473     0.43797337          37145
     -1.2133628     0.43716814          37229
     -1.2134706     0.43616176          37327
     -1.2134604     0.43516129          37445
     -1.2135965     0.43428363          37543
     -1.2135860     0.43332362          37649
     -1.2137209     0.43245640          37765
     -1.2138551     0.43152174          37890
     -1.2139306     0.43054913          37991
     -1.2137176     0.42969741          38115
     -1.2135920     0.42893678          38235
     -1.2135817     0.42819484          38340
     -1.2138857     0.42747143          38443
     -1.2143020     0.42659544          38532
     -1.2144886     0.42583807          38634
     -1.2146459     0.42502833          38746
     -1.2149435     0.42439266          38840
     -1.2151831     0.42366197          38925
     -1.2156461     0.42293539          39021
     -1.2155742     0.42203081          39132
     -1.2155587     0.42121508          39242
     -1.2155153     0.42064067          39351
     -1.2155556     0.42011111          39450
     -1.2156233     0.41940443          39581
     -1.2157182     0.41867403          39685
     -1.2160606     0.41809917          39790
     -1.2162912     0.41737637          39873
     -1.2167397     0.41672603          39952
     -1.2166393     0.41642077          40083
     -1.2168665     0.41625341          40175
     -1.2170109     0.41615489          40280
     -1.2171274     0.41598916          40383
     -1.2171351     0.41598649          40489
     -1.2173315     0.41614555          40587
     -1.2173118     0.41643817          40695
     -1.2172118     0.41680965          40805
     -1.2169786     0.41728610          40927
     -1.2170933     0.41782667          41032
     -1.2174468     0.41852394          41142
     -1.2175066     0.41897878          41240
     -1.2179365     0.41945767          41348
     -1.2179420     0.41973615          41453
     -1.2181842     0.42005263          41572
     -1.2183202     0.42040682          41673
     -1.2184817     0.42069372          41786
     -1.2183551     0.42086162          41889
     -1.2183073     0.42121094          42009
     -1.2182338     0.42153247          42115
     -1.2179534     0.42177461          42231
     -1.2179328     0.42211886          42339
     -1.2177577     0.42250000          42456
     -1.2178920     0.42302057          42573
     -1.2177692     0.42337179          42682
     -1.2177238     0.42370844          42785
     -1.2179337     0.42419643          42885
     -1.2179135     0.42463104          42995
     -1.2178934     0.42500000          43100
     -1.2179494     0.42551899          43216
     -1.2179040     0.42619949          43305
     -1.2179849     0.42668766          43422
     -1.2178141     0.42709799          43518
     -1.2178697     0.42741855          43621
     -1.2180750     0.42791250          43727
     -1.2182294     0.42840399          43833
     -1.2182090     0.42883085          43960
     -1.2180149     0.42925558          44066
     -1.2180446     0.42964109          44181
     -1.2181481     0.43024691          44297
     -1.2185714     0.43093596          44384
     -1.2189189     0.43147420          44478
     -1.2193873     0.43224265          44563
     -1.2198044     0.43300733          44635
     -1.2200488     0.43367073          44731
     -1.2203163     0.43434307          44832
     -1.2204854     0.43502427          44913
     -1.2210169     0.43588378          44990
     -1.2217633     0.43676329          45066
     -1.2224337     0.43765060          45145
     -1.2228846     0.43828125          45236
     -1.2232614     0.43886091          45322
     -1.2237321     0.43956938          45397
     -1.2239141     0.44013126          45479
     -1.2240714     0.44077381          45568
     -1.2241568     0.44112827          45678
     -1.2243602     0.44162322          45772
     -1.2246336     0.44205674          45871
     -1.2251179     0.44254717          45954
     -1.2253176     0.44290588          46045
     -1.2253052     0.44305164          46139
     -1.2253162     0.44322014          46255
     -1.2253037     0.44344626          46368
     -1.2251748     0.44364802          46460
     -1.2253023     0.44417442          46550
     -1.2253596     0.44466357          46667
     -1.2255556     0.44519676          46767
     -1.2260277     0.44584296          46839
     -1.2262442     0.44641705          46937
     -1.2265057     0.44698851          47023
     -1.2269954     0.44779817          47102
     -1.2275973     0.44863844          47167
     -1.2281735     0.44947489          47231
     -1.2287244     0.45023918          47309
     -1.2292727     0.45093182          47379
     -1.2292517     0.45139456          47473
     -1.2292760     0.45180995          47575
     -1.2291874     0.45205418          47686
     -1.2292793     0.45240991          47804
     -1.2293933     0.45282022          47911
     -1.2297309     0.45330717          48030
     -1.2297763     0.45372483          48122
     -1.2300670     0.45414063          48216
     -1.2303341     0.45435412          48294
     -1.2305556     0.45466667          48385
     -1.2308204     0.45505543          48474
     -1.2308186     0.45536504          48577
     -1.2308609     0.45567329          48665
     -1.2311013     0.45600220          48761
     -1.2312967     0.45656044          48862
     -1.2317982     0.45734649          48935
     -1.2325164     0.45819475          48995
     -1.2332533     0.45908297          49051
     -1.2340305     0.45998911          49105
     -1.2348043     0.46085870          49154
     -1.2356616     0.46177874          49221
     -1.2366667     0.46274892          49266
     -1.2374730     0.46363931          49325
     -1.2382328     0.46451509          49378
     -1.2388602     0.46530108          49434
     -1.2395064     0.46595494          49498
     -1.2401071     0.46663812          49561
     -1.2407265     0.46725427          49629
     -1.2411087     0.46791045          49693
     -1.2413830     0.46852128          49781
     -1.2420807     0.46932059          49847
     -1.2428178     0.47007415          49909
     -1.2435941     0.47089852          49974
     -1.2441350     0.47154008          50035
     -1.2444211     0.47215789          50127
     -1.2446218     0.47271008          50205
     -1.2453459     0.47337526          50282
     -1.2457741     0.47396444          50359
     -1.2462839     0.47459290          50449
     -1.2466667     0.47519792          50531
     -1.2470062     0.47576923          50612
     -1.2473444     0.47635892          50682
     -1.2479710     0.47695652          50765
     -1.2485331     0.47746901          50839
     -1.2490928     0.47798969          50896
     -1.2496502     0.47842593          50960
     -1.2502875     0.47888090          51008
     -1.2506762     0.47927254          51086
     -1.2510020     0.47964213          51184
     -1.2511224     0.47993878          51265
     -1.2512016     0.48019348          51359
     -1.2511992     0.48045732          51454
     -1.2510548     0.48060852          51569
     -1.2509717     0.48073887          51703
     -1.2507677     0.48082828          51831
     -1.2508065     0.48099798          51959
     -1.2509054     0.48120724          52059
     -1.2510643     0.48146586          52174
     -1.2511222     0.48173347          52275
     -1.2508000     0.48187000          52394
     -1.2507585     0.48200599          52506
     -1.2507171     0.48214143          52624
     -1.2508151     0.48227634          52716
     -1.2508135     0.48237103          52812
     -1.2508515     0.48232673          52904
     -1.2507115     0.48218379          53008
     -1.2505917     0.48193294          53125
     -1.2501969     0.48165354          53254
     -1.2497839     0.48144401          53389
     -1.2494314     0.48135294          53533
     -1.2492564     0.48121331          53650
     -1.2489648     0.48099609          53782
     -1.2487524     0.48077973          53900
     -1.2485409     0.48056420          54034
     -1.2483301     0.48037864          54151
     -1.2481395     0.48025194          54285
     -1.2480464     0.48017408          54394
     -1.2480888     0.48007722          54506
     -1.2479383     0.47981696          54629
     -1.2479038     0.47970192          54744
     -1.2479655     0.47960653          54846
     -1.2479502     0.47954981          54938
     -1.2477438     0.47944551          55045
     -1.2476527     0.47953244          55153
     -1.2475619     0.47971429          55267
     -1.2474715     0.48001901          55386
     -1.2473435     0.48015180          55488
     -1.2471780     0.48017992          55605
     -1.2470510     0.48034972          55720
     -1.2468491     0.48057547          55856
     -1.2466667     0.48072505          55974
     -1.2465038     0.48074248          56096
     -1.2463227     0.48081614          56218
     -1.2461236     0.48083333          56338
     -1.2461682     0.48084112          56437
     -1.2463060     0.48094216          56543
     -1.2460894     0.48099628          56662
     -1.2460037     0.48081784          56787
     -1.2459740     0.48064935          56916
     -1.2460370     0.48045370          57021
     -1.2458410     0.48013863          57124
     -1.2453875     0.47960332          57262
     -1.2448803     0.47902394          57395
     -1.2444485     0.47871324          57534
     -1.2440550     0.47846789          57673
     -1.2438462     0.47815934          57798
     -1.2433455     0.47786106          57939
     -1.2430839     0.47769161          58059
     -1.2429144     0.47749545          58196
     -1.2428182     0.47730909          58317
     -1.2427949     0.47704174          58416
     -1.2427899     0.47675725          58540
     -1.2426221     0.47643761          58668
     -1.2424188     0.47611913          58798
     -1.2420180     0.47574775          58904
     -1.2416367     0.47538669          59037
     -1.2412567     0.47497307          59171
     -1.2409140     0.47458781          59292
     -1.2406082     0.47430233          59421
     -1.2403571     0.47416964          59552
     -1.2399822     0.47389483          59684
     -1.2397509     0.47373665          59817
     -1.2396092     0.47353464          59926
     -1.2395390     0.47344858          60037
     -1.2396283     0.47342478          60162
     -1.2396820     0.47334806          60242
     -1.2396120     0.47322751          60353
     -1.2394894     0.47309859          60470
     -1.2393673     0.47289104          60573
     -1.2391579     0.47260526          60694
     -1.2389667     0.47234676          60805
     -1.2387063     0.47222902          60935
     -1.2386387     0.47215532          61074
     -1.2385714     0.47203833          61183
     -1.2387130     0.47194783          61282
     -1.2386632     0.47179688          61393
     -1.2385269     0.47149913          61506
     -1.2382699     0.47113322          61608
     -1.2380829     0.47078584          61738
     -1.2381207     0.47048276          61851
     -1.2381067     0.47021515          61959
     -1.2379553     0.46990550          62064
     -1.2378902     0.46959691          62196
     -1.2377226     0.46923801          62330
     -1.2377265     0.46885470          62455
     -1.2374744     0.46837031          62561
     -1.2373595     0.46789608          62682
     -1.2373639     0.46749150          62808
     -1.2372835     0.46724109          62916
     -1.2370847     0.46695763          63032
     -1.2369205     0.46679357          63158
     -1.2367736     0.46659628          63274
     -1.2368128     0.46643339          63394
     -1.2369865     0.46634680          63495
     -1.2368908     0.46628571          63600
     -1.2368624     0.46625000          63715
     -1.2368509     0.46616415          63827
     -1.2369732     0.46613712          63946
     -1.2369950     0.46601002          64054
     -1.2371833     0.46600833          64161
     -1.2372213     0.46592346          64241
     -1.2372924     0.46590532          64339
     -1.2372803     0.46586235          64446
     -1.2372682     0.46576159          64549
     -1.2371570     0.46580992          64665
     -1.2370297     0.46585809          64789
     -1.2369522     0.46584020          64885
     -1.2370230     0.46586349          65016
     -1.2368473     0.46600164          65116
     -1.2366721     0.46608197          65247
     -1.2364321     0.46617840          65365
     -1.2363072     0.46638889          65491
     -1.2362969     0.46672920          65599
     -1.2365309     0.46718241          65685
     -1.2367805     0.46755285          65771
     -1.2367370     0.46786526          65870
     -1.2368395     0.46829011          65958
     -1.2367638     0.46860032          66056
     -1.2369467     0.46888530          66139
     -1.2370161     0.46918548          66237
     -1.2371014     0.46950081          66329
     -1.2373151     0.46989550          66431
     -1.2372713     0.47019262          66533
     -1.2372276     0.47040064          66642
     -1.2372000     0.47055200          66749
     -1.2370927     0.47067891          66866
     -1.2371451     0.47082137          66984
     -1.2373726     0.47101911          67079
     -1.2376153     0.47116057          67166
     -1.2375873     0.47108730          67265
     -1.2374010     0.47105388          67378
     -1.2371994     0.47110759          67493
     -1.2372670     0.47108215          67607
     -1.2371451     0.47108044          67730
     -1.2372126     0.47103937          67825
     -1.2372013     0.47100629          67934
     -1.2371743     0.47091052          68034
     -1.2372884     0.47079937          68138
     -1.2371831     0.47064945          68227
     -1.2371562     0.47067969          68326
     -1.2371139     0.47084243          68433
     -1.2371495     0.47098910          68533
     -1.2371073     0.47116641          68617
     -1.2371894     0.47128106          68725
     -1.2371938     0.47135659          68844
     -1.2374303     0.47152477          68958
     -1.2375580     0.47173879          69060
     -1.2377778     0.47200617          69157
     -1.2380277     0.47223421          69250
     -1.2380769     0.47238462          69342
     -1.2380492     0.47248080          69451
     -1.2376227     0.47250000          69571
     -1.2371822     0.47246554          69720
     -1.2368654     0.47243884          69869
     -1.2364733     0.47225954          70007
     -1.2361890     0.47209604          70159
     -1.2359970     0.47186454          70280
     -1.2357903     0.47155775          70376
     -1.2357663     0.47122155          70498
     -1.2356061     0.47093182          70598
     -1.2353404     0.47067322          70736
     -1.2352115     0.47029456          70868
     -1.2350980     0.46979638          70996
     -1.2349096     0.46942018          71130
     -1.2346466     0.46893233          71269
     -1.2344895     0.46853604          71391
